,type,term,value
0,S,1,0.0
1,S,2,9.647593575367409e-05
2,S,3,-0.002294531357098194
3,S,4,0.006437723080373761
4,S,5,0.0002862678844203181
5,S,6,-0.004701916002933892
6,S,7,-0.002771001362153097
7,S,8,-0.00047380662712925164
8,S,9,0.0018539868759263167
9,S,10,0.0004957388501507816
10,S,11,0.0021432063037224135
11,S,12,-0.0033290026958830124
12,S,13,0.0005248642199243329
13,S,14,0.002437586542681586
14,S,15,-0.000600751006801435
15,S,16,-0.00011412296347932656
16,S,17,-0.0006169247609634845
17,S,18,0.0004851103106298629
18,S,19,0.0006703935894526075
19,S,20,-0.0002446419709430441
20,S,21,-0.0005879757737886292
21,S,22,0.00045112850997948856
22,S,23,0.00016159312036059546
23,S,24,-0.000796922637017428
24,S,25,-0.00033977206008666976
25,S,26,0.0007601298061480416
26,S,27,0.00033423269656219807
27,S,28,-0.000720560117031339
28,T,4,0.00014426902962767454
29,T,7,0.0003037584281289477
30,T,8,3.917023602211289e-05
31,T,11,-0.00010019154202191337
32,T,12,5.2044031548206584e-05
33,T,13,0.00017063171188238282
